,Pressure,Temperature,Enthalpy,Depth,Massrate,Pola Aliran,Dryness,P2,P2_Homogen
268,15.856033615096655,200.94387983799243,2249.79803770645,804,17.19,Mist,0.7196105155663863,15.879741123921592,15.872201411501624
269,15.879741123921592,201.01562967515838,2249.8291655692065,807,17.19,Mist,0.7195639696859423,15.90341872780943,15.895893699089106
270,15.90341872780943,201.0872057293509,2249.8602843233057,810,17.19,Mist,0.7195175815375798,15.927066574818081,15.91955616314553
271,15.927066574818081,201.15860898542337,2249.891394045044,813,17.19,Mist,0.7194713502492328,15.95068481188987,15.94318895111169
272,15.95068481188987,201.22984041978788,2249.9224948098527,816,17.19,Mist,0.7194252749562273,15.974273584863225,15.966792209319296
273,15.974273584863225,201.3009010005183,2249.9535866923097,819,17.19,Mist,0.7193793548011901,15.997833038484204,15.990366083002565
274,15.997833038484204,201.37179168744194,2249.9846697661533,822,17.19,Mist,0.7193335889339688,16.021363316417872,16.01391071630967
275,16.021363316417872,201.4425134322334,2250.0157441042916,825,17.19,Mist,0.7192879765115537,16.044864561259523,16.037426252314027
276,16.044864561259523,201.51306717851133,2250.0468097788166,828,17.19,Mist,0.7192425166979899,16.06833691454575,16.060912833025448
277,16.06833691454575,201.58345386192644,2250.077866861014,831,17.19,Mist,0.7191972086643031,16.09178051676538,16.0843705994011
278,16.09178051676538,201.65367441025296,2250.1089154213764,834,17.19,Mist,0.7191520515884213,16.115195507370245,16.107799691356398
279,16.115195507370245,201.72372974347786,2250.139955529612,837,17.19,Mist,0.7191070446550968,16.13858202478584,16.131200247775663
280,16.13858202478584,201.79362077388635,2250.170987254658,840,17.19,Mist,0.7190621870558327,16.16194020642181,16.15457240652272
281,16.16194020642181,201.86334840615365,2250.2020106646896,843,17.19,Mist,0.7190174779887993,16.185270188682313,16.1779163044513
282,16.185270188682313,201.9329135374236,2250.233025827131,846,17.19,Mist,0.7189729166587729,16.208572106976263,16.201232077415334
283,16.208572106976263,202.00231705739787,2250.2640328086663,849,17.19,Mist,0.7189285022770542,16.23184609572741,16.224519860279123
284,16.23184609572741,202.0715598484145,2250.29503167525,852,17.19,Mist,0.7188842340614001,16.255092288384308,16.24777978692733
285,16.255092288384308,202.14064278553462,2250.3260224921155,855,17.19,Mist,0.7188401112359506,16.278310817430164,16.271011990274904
286,16.278310817430164,202.20956673661954,2250.357005323787,858,17.19,Mist,0.7187961330311586,16.301501814392527,16.294216602276823
287,16.301501814392527,202.27833256240888,2250.3879802340866,861,17.19,Mist,0.7187522986837283,16.32466540985288,16.31739375393774
288,16.32466540985288,202.34694111660355,2250.4189472861476,864,17.19,Mist,0.7187086074365352,16.3478017334561,16.340543575321497
289,16.3478017334561,202.41539324593987,2250.4499065424206,867,17.19,Mist,0.7186650585385684,16.370910913919808,16.36366619556052
290,16.370910913919808,202.48368979026623,2250.480858064684,870,17.19,Mist,0.71862165124486,16.393993079043568,16.38676174286509
291,16.393993079043568,202.55183158261843,2250.5118019140536,873,17.19,Mist,0.718578384816423,16.41704835571801,16.40983034453251
292,16.41704835571801,202.6198194492939,2250.5427381509908,876,17.19,Mist,0.7185352585201835,16.4400768699338,16.432872126956116
293,16.4400768699338,202.68765420992355,2250.573666835311,879,17.19,Mist,0.7184922716289223,16.46307874679054,16.455887215634224
294,16.46307874679054,202.7553366775481,2250.6045880261945,882,17.19,Mist,0.718449423421203,16.486054110505496,16.478875735178946
295,16.486054110505496,202.82286765868338,2250.6355017821916,885,17.19,Mist,0.7184067131813222,16.50900308442228,16.50183780932486
296,16.50900308442228,202.8902479533947,2250.666408161234,888,17.19,Mist,0.7183641401992388,16.531925791019372,16.524773560937646
297,16.531925791019372,202.95747835536537,2250.697307220642,891,17.19,Mist,0.7183217037705181,16.554822351918574,16.547683112022526
298,16.554822351918574,203.02455965196168,2250.728199017132,894,17.19,Mist,0.7182794031962748,16.577692887893328,16.570566583732667
299,16.577692887893328,203.09149262430725,2250.759083606825,897,17.19,Mist,0.7182372377831066,16.600537518876948,16.593424096377454
300,16.600537518876948,203.15827804734062,2250.7899610452546,900,17.19,Mist,0.7181952068430478,16.623356363970746,16.616255769430648
301,16.623356363970746,203.22491668988994,2250.820831387375,903,17.19,Mist,0.7181533096934997,16.646149541452054,16.639061721538464
302,16.646149541452054,203.29140931473006,2250.8516946875684,906,17.19,Mist,0.7181115456571843,16.668917168782155,16.66184207052754
303,16.668917168782155,203.35775667865187,2250.8825509996514,909,17.19,Mist,0.7180699140620831,16.691659362614107,16.684596933412813
304,16.691659362614107,203.4239595325197,2250.913400376884,912,17.19,Mist,0.7180284142413889,16.71437623880048,16.707326426405274
305,16.71437623880048,203.4900186213422,2250.9442428719763,915,17.19,Mist,0.7179870455334382,16.737067912400985,16.730030664919674
306,16.737067912400985,203.55593468432392,2250.975078537095,918,17.19,Mist,0.7179458072816751,16.75973449769003,16.7527097635821
307,16.75973449769003,203.62170845493227,2251.005907423872,921,17.19,Mist,0.7179046988345864,16.782376108164165,16.775363836237457
308,16.782376108164165,203.68734066095476,2251.0367295834094,924,17.19,Mist,0.7178637195456542,16.804992856549443,16.797992995956886
309,16.804992856549443,203.7528320245607,2251.067545066287,927,17.19,Mist,0.7178228687733009,16.8275848548087,16.820597355045066
310,16.8275848548087,203.81818326235293,2251.0983539225704,930,17.19,Mist,0.7177821458808488,16.85015221414873,16.843177025047442
311,16.85015221414873,203.88339508543424,2251.1291562018155,933,17.19,Mist,0.7177415502364546,16.872695045027392,16.86573211675736
312,16.872695045027392,203.94846819945735,2251.159951953077,936,17.19,Mist,0.7177010812130731,16.895213457160626,16.88826274022313
313,16.895213457160626,204.01340330468463,2251.190741224912,939,17.19,Mist,0.7176607381883993,16.917707559529372,16.910769004754968
314,16.917707559529372,204.07820109603887,2251.22152406539,942,17.19,Mist,0.7176205205448307,16.940177460386423,16.933251018931905
315,16.940177460386423,204.14286226316392,2251.2523005220964,945,17.19,Mist,0.7175804276694083,16.962623267263186,16.95570889060857
316,16.962623267263186,204.2073874904748,2251.283070642139,948,17.19,Mist,0.7175404589537755,16.985045086976378,16.97814272692192
317,16.985045086976378,204.27177745721127,2251.313834472155,951,17.19,Mist,0.7175006137941325,17.007443025634615,17.000552634297875
318,17.007443025634615,204.33603283748891,2251.3445920583167,954,17.19,Mist,0.717460891591192,17.029817188644948,17.02293871845789
